,outcomes_description,outcomes_name,outcomes_price,outcomes_point,EV Percentage,bookmakers.title,bookmakers.markets.key,team,Outcome Last 30 Avg,Outcome Last 30 Avg Adjusted,True Odds,Percentage Hit,opposing team,Defensive Rating Adjustment,Outcome Last 30 STD,outcomes_point_adj,Date
4769,Nikola Jovic,Over,-122,16.5,0.021536890676386446,DraftKings,player_points_rebounds_assists,Miami Heat,17.8,12.26256068056626,0.5146796542735605,0.5260082361504108,Boston Celtics,0.9189031040457524,9.091792229315576,17.0,2024-05-01
4770,Nikola Jovic,Under,102,16.5,-0.0497864407666092,DraftKings,player_points_rebounds_assists,Miami Heat,17.8,12.26256068056626,0.46363773433180666,0.44164957397738347,Boston Celtics,0.9189031040457524,9.091792229315576,16.0,2024-05-01
4771,Tyler Herro,Over,-118,30.5,0.003871780157608899,DraftKings,player_points_rebounds_assists,Miami Heat,31.6,26.86458193844763,0.50693894658408,0.5089093316363316,Boston Celtics,0.9189031040457524,9.12414379544733,31.0,2024-05-01
4772,Tyler Herro,Under,-102,30.5,0.007020116448094444,DraftKings,player_points_rebounds_assists,Miami Heat,31.6,26.86458193844763,0.4729104890184428,0.47625384647958235,Boston Celtics,0.9189031040457524,9.12414379544733,30.0,2024-05-01
4819,Tyler Herro,Over,-130,30.5,-0.04017220892901108,BetMGM,player_points_rebounds_assists,Miami Heat,31.6,26.86458193844763,0.5293533436327497,0.5089093316363316,Boston Celtics,0.9189031040457524,9.12414379544733,31.0,2024-05-01
4820,Tyler Herro,Under,-105,30.5,-0.007226366816638788,BetMGM,player_points_rebounds_assists,Miami Heat,31.6,26.86458193844763,0.479695431472079,0.47625384647958235,Boston Celtics,0.9189031040457524,9.12414379544733,30.0,2024-05-01
4821,Jrue Holiday,Over,-110,21.5,-0.23780852869256203,BetMGM,player_points_rebounds_assists,Boston Celtics,16.9,19.40090485754096,0.49057287889774975,0.39632371851236026,Miami Heat,1.016064260313952,5.721758942023423,22.0,2024-05-01
4822,Jrue Holiday,Under,-120,21.5,0.12479459349569567,BetMGM,player_points_rebounds_assists,Boston Celtics,16.9,19.40090485754096,0.5108444854637724,0.5836852488196552,Miami Heat,1.016064260313952,5.721758942023423,21.0,2024-05-01
4823,Payton Pritchard,Over,-110,12.5,0.2764528365785802,BetMGM,player_points_rebounds_assists,Boston Celtics,22.4,20.339986664173164,0.49057287889774975,0.6780109213309465,Miami Heat,1.016064260313952,15.044011434201108,13.0,2024-05-01
4824,Payton Pritchard,Under,-120,12.5,-0.677277474356514,BetMGM,player_points_rebounds_assists,Boston Celtics,22.4,20.339986664173164,0.5108444854637724,0.30456766591929424,Miami Heat,1.016064260313952,15.044011434201108,12.0,2024-05-01
4825,Jayson Tatum,Over,-125,42.5,-0.22700246216706163,BetMGM,player_points_rebounds_assists,Boston Celtics,35.6,38.631127863356994,0.5203045685279164,0.42404525220673495,Miami Heat,1.016064260313952,5.967929102944988,43.0,2024-05-01
4826,Jayson Tatum,Under,-105,42.5,0.15216921878358755,BetMGM,player_points_rebounds_assists,Boston Celtics,35.6,38.631127863356994,0.479695431472079,0.5657914787946755,Miami Heat,1.016064260313952,5.967929102944988,42.0,2024-05-01
4827,Derrick White,Over,-130,24.5,-0.128710776677271,BetMGM,player_points_rebounds_assists,Boston Celtics,23.0,25.703440330530498,0.5293533436327497,0.4689893589844816,Miami Heat,1.016064260313952,10.733766651897932,25.0,2024-05-01
4828,Derrick White,Under,-105,24.5,0.06948678399710842,BetMGM,player_points_rebounds_assists,Boston Celtics,23.0,25.703440330530498,0.479695431472079,0.5155170536240813,Miami Heat,1.016064260313952,10.733766651897932,24.0,2024-05-01
4829,Bam Adebayo,Over,-120,36.5,-0.321639691858247,BetMGM,player_points_rebounds_assists,Miami Heat,27.7,32.24774962223528,0.5108444854637724,0.3865232624373718,Boston Celtics,0.9189031040457524,9.852000510683096,37.0,2024-05-01
4830,Bam Adebayo,Under,-110,36.5,0.1844963542923285,BetMGM,player_points_rebounds_assists,Miami Heat,27.7,32.24774962223528,0.49057287889774975,0.6015581677406778,Boston Celtics,0.9189031040457524,9.852000510683096,36.0,2024-05-01
4831,Caleb Martin,Over,-125,19.5,-0.4129885149330485,BetMGM,player_points_rebounds_assists,Miami Heat,14.9,15.153979614016675,0.5203045685279164,0.3682298638871597,Boston Celtics,0.9189031040457524,6.799658194534487,20.0,2024-05-01
4832,Caleb Martin,Under,-105,19.5,0.20925030992715288,BetMGM,player_points_rebounds_assists,Miami Heat,14.9,15.153979614016675,0.479695431472079,0.6066337268218056,Boston Celtics,0.9189031040457524,6.799658194534487,19.0,2024-05-01
4833,Haywood Highsmith,Over,-125,12.5,-0.12157149908235187,BetMGM,player_points_rebounds_assists,Miami Heat,11.9,12.141791628629356,0.5203045685279164,0.4639067317185035,Boston Celtics,0.9189031040457524,5.523442147898613,13.0,2024-05-01
4834,Haywood Highsmith,Under,-105,12.5,0.04687243979213887,BetMGM,player_points_rebounds_assists,Miami Heat,11.9,12.141791628629356,0.479695431472079,0.5032856581835337,Boston Celtics,0.9189031040457524,5.523442147898613,12.0,2024-05-01
4835,Nikola Jovic,Over,-125,16.5,0.01084330478213931,BetMGM,player_points_rebounds_assists,Miami Heat,17.8,12.26256068056626,0.5203045685279164,0.5260082361504108,Boston Celtics,0.9189031040457524,9.091792229315576,17.0,2024-05-01
4836,Nikola Jovic,Under,-110,16.5,-0.11077403399209802,BetMGM,player_points_rebounds_assists,Miami Heat,17.8,12.26256068056626,0.49057287889774975,0.44164957397738347,Boston Celtics,0.9189031040457524,9.091792229315576,16.0,2024-05-01
4837,Sam Hauser,Over,-110,10.5,0.15326822672306709,BetMGM,player_points_rebounds_assists,Boston Celtics,14.1,15.477730416458137,0.49057287889774975,0.5793722337821171,Miami Heat,1.016064260313952,6.932272454547862,11.0,2024-05-01
4838,Sam Hauser,Under,-125,10.5,-0.3154134397249007,BetMGM,player_points_rebounds_assists,Boston Celtics,14.1,15.477730416458137,0.5203045685279164,0.39554451308991523,Miami Heat,1.016064260313952,6.932272454547862,10.0,2024-05-01
4839,Jaylen Brown,Over,-105,33.5,-0.09212473125687227,BetMGM,player_points_rebounds_assists,Boston Celtics,29.1,32.043258864532326,0.479695431472079,0.43923136043263233,Miami Heat,1.016064260313952,6.855643227536404,34.0,2024-05-01
4840,Jaylen Brown,Under,-125,33.5,0.05129363874235176,BetMGM,player_points_rebounds_assists,Boston Celtics,29.1,32.043258864532326,0.5203045685279164,0.5484358382905508,Miami Heat,1.016064260313952,6.855643227536404,33.0,2024-05-01
4841,Al Horford,Over,-130,20.5,-0.28489135281751604,BetMGM,player_points_rebounds_assists,Boston Celtics,16.9,18.43135602186875,0.5293533436327497,0.4119829606386416,Miami Heat,1.016064260313952,3.9619786832471973,21.0,2024-05-01
4842,Al Horford,Under,100,20.5,0.17380461441049846,BetMGM,player_points_rebounds_assists,Boston Celtics,16.9,18.43135602186875,0.4682741116751247,0.5667837412829471,Miami Heat,1.016064260313952,3.9619786832471973,20.0,2024-05-01
4843,Bam Adebayo,Over,-102,36.5,-0.2234981305816446,FanDuel,player_points_rebounds_assists,Miami Heat,27.7,32.24774962223528,0.4729104890184428,0.3865232624373718,Boston Celtics,0.9189031040457524,9.852000510683096,37.0,2024-05-01
4844,Bam Adebayo,Under,-125,36.5,0.135071890916106,FanDuel,player_points_rebounds_assists,Miami Heat,27.7,32.24774962223528,0.5203045685279164,0.6015581677406778,Boston Celtics,0.9189031040457524,9.852000510683096,36.0,2024-05-01
4845,Caleb Martin,Over,-111,19.5,-0.33798628096503824,FanDuel,player_points_rebounds_assists,Miami Heat,14.9,15.153979614016675,0.4926865061226431,0.3682298638871597,Boston Celtics,0.9189031040457524,6.799658194534487,20.0,2024-05-01
4846,Caleb Martin,Under,-115,19.5,0.17422263816312872,FanDuel,player_points_rebounds_assists,Miami Heat,14.9,15.153979614016675,0.5009443985361799,0.6066337268218056,Boston Celtics,0.9189031040457524,6.799658194534487,19.0,2024-05-01
4847,Al Horford,Over,-130,20.5,-0.28489135281751604,FanDuel,player_points_rebounds_assists,Boston Celtics,16.9,18.43135602186875,0.5293533436327497,0.4119829606386416,Miami Heat,1.016064260313952,3.9619786832471973,21.0,2024-05-01
4848,Al Horford,Under,102,20.5,0.1819847667430678,FanDuel,player_points_rebounds_assists,Boston Celtics,16.9,18.43135602186875,0.46363773433180666,0.5667837412829471,Miami Heat,1.016064260313952,3.9619786832471973,20.0,2024-05-01
4849,Nikola Jovic,Over,-130,16.5,-0.006359420352084228,FanDuel,player_points_rebounds_assists,Miami Heat,17.8,12.26256068056626,0.5293533436327497,0.5260082361504108,Boston Celtics,0.9189031040457524,9.091792229315576,17.0,2024-05-01
4850,Nikola Jovic,Under,102,16.5,-0.0497864407666092,FanDuel,player_points_rebounds_assists,Miami Heat,17.8,12.26256068056626,0.46363773433180666,0.44164957397738347,Boston Celtics,0.9189031040457524,9.091792229315576,16.0,2024-05-01
