outcomes_description,outcomes_name,outcomes_price,outcomes_point,EV Percentage,bookmakers.title,bookmakers.markets.key,team,Outcome Last 30 Avg,Outcome Last 30 Avg Adjusted,True Odds,Percentage Hit,opposing team,Defensive Rating Adjustment,Outcome Last 30 STD,outcomes_point_adj,Date
Jalen Johnson,Under,-120,9.5,-0.13361868135648253,DraftKings,player_rebounds,Atlanta Hawks,10.3,10.4783292560609,0.5108444854637724,0.45063167524065356,Cleveland Cavaliers,1.0173135200059125,3.262061171084967,9.0,2024-03-06
Jarrett Allen,Over,-110,12.5,-0.3037679573643801,DraftKings,player_rebounds,Cleveland Cavaliers,9.8,10.14959096148836,0.49057287889774975,0.3762731520795025,Atlanta Hawks,1.035672547090649,3.6732785364863867,13.0,2024-03-06
Jarrett Allen,Under,-120,12.5,0.12795609075750217,DraftKings,player_rebounds,Cleveland Cavaliers,9.8,10.14959096148836,0.5108444854637724,0.5858013341409817,Atlanta Hawks,1.035672547090649,3.6732785364863867,12.0,2024-03-06
Saddiq Bey,Over,-145,5.5,-0.26002769362086975,DraftKings,player_rebounds,Atlanta Hawks,5.2,5.290030304030745,0.554283642390964,0.439897984145214,Cleveland Cavaliers,1.0173135200059125,2.5219040425836985,6.0,2024-03-06
Saddiq Bey,Under,114,5.5,0.0975034245291042,DraftKings,player_rebounds,Atlanta Hawks,5.2,5.290030304030745,0.43763935670572407,0.4849207948267027,Cleveland Cavaliers,1.0173135200059125,2.5219040425836985,5.0,2024-03-06
Bogdan Bogdanovic,Over,-112,3.5,0.06174003148922561,FanDuel,player_rebounds,Atlanta Hawks,4.3,4.374448136025423,0.49478019346805635,0.527338062022812,Cleveland Cavaliers,1.0173135200059125,1.3193999873164364,4.0,2024-03-06
Bogdan Bogdanovic,Under,-108,3.5,-0.2691279167034624,FanDuel,player_rebounds,Atlanta Hawks,4.3,4.374448136025423,0.48628465443186036,0.38316441395046785,Cleveland Cavaliers,1.0173135200059125,1.3193999873164364,3.0,2024-03-06
Isaac Okoro,Over,-140,3.5,-1.1021705900115082,FanDuel,player_rebounds,Cleveland Cavaliers,2.4,2.4856141130175575,0.5463197969543122,0.2598836647939792,Atlanta Hawks,1.035672547090649,2.332398474666818,4.0,2024-03-06
Isaac Okoro,Under,114,3.5,0.2649327185032838,FanDuel,player_rebounds,Cleveland Cavaliers,2.4,2.4856141130175575,0.43763935670572407,0.5953731960625691,Atlanta Hawks,1.035672547090649,2.332398474666818,3.0,2024-03-06
Jarrett Allen,Over,-104,12.5,-0.26890785155249813,FanDuel,player_rebounds,Cleveland Cavaliers,9.8,10.14959096148836,0.4774559570020879,0.3762731520795025,Atlanta Hawks,1.035672547090649,3.6732785364863867,13.0,2024-03-06
Jarrett Allen,Under,-118,12.5,0.1346230931217413,FanDuel,player_rebounds,Cleveland Cavaliers,9.8,10.14959096148836,0.50693894658408,0.5858013341409817,Atlanta Hawks,1.035672547090649,3.6732785364863867,12.0,2024-03-06
Darius Garland,Over,-130,2.5,-0.3082508090952021,FanDuel,player_rebounds,Cleveland Cavaliers,2.4,2.4856141130175575,0.5293533436327497,0.4046268039374309,Atlanta Hawks,1.035672547090649,1.7888543819998317,3.0,2024-03-06
Darius Garland,Under,106,2.5,-0.0425596340365867,FanDuel,player_rebounds,Cleveland Cavaliers,2.4,2.4856141130175575,0.4546350598787619,0.4360758320543296,Atlanta Hawks,1.035672547090649,1.7888543819998317,2.0,2024-03-06
Saddiq Bey,Over,-122,5.5,-0.1699977558971047,FanDuel,player_rebounds,Atlanta Hawks,5.2,5.290030304030745,0.5146796542735605,0.439897984145214,Cleveland Cavaliers,1.0173135200059125,2.5219040425836985,6.0,2024-03-06
Saddiq Bey,Under,100,5.5,0.034328664246141546,FanDuel,player_rebounds,Atlanta Hawks,5.2,5.290030304030745,0.4682741116751247,0.4849207948267027,Cleveland Cavaliers,1.0173135200059125,2.5219040425836985,5.0,2024-03-06
Clint Capela,Over,-104,9.5,0.059549938223690826,FanDuel,player_rebounds,Atlanta Hawks,10.2,10.376597904060306,0.4774559570020879,0.5076887932786943,Cleveland Cavaliers,1.0173135200059125,3.04484993244513,10.0,2024-03-06
Clint Capela,Under,-118,9.5,-0.11668674801568346,FanDuel,player_rebounds,Atlanta Hawks,10.2,10.376597904060306,0.50693894658408,0.45396701222155117,Cleveland Cavaliers,1.0173135200059125,3.04484993244513,9.0,2024-03-06
Dejounte Murray,Over,-110,5.5,0.07462977504677148,FanDuel,player_rebounds,Atlanta Hawks,6.5,6.612537880038431,0.49057287889774975,0.5301368745925935,Cleveland Cavaliers,1.0173135200059125,1.864880097426582,6.0,2024-03-06
Dejounte Murray,Under,-110,5.5,-0.19572193486359513,FanDuel,player_rebounds,Atlanta Hawks,6.5,6.612537880038431,0.49057287889774975,0.4102733792817082,Cleveland Cavaliers,1.0173135200059125,1.864880097426582,5.0,2024-03-06
Jalen Johnson,Over,-102,9.5,0.07529984684303491,FanDuel,player_rebounds,Atlanta Hawks,10.3,10.4783292560609,0.4729104890184428,0.5114203641081994,Cleveland Cavaliers,1.0173135200059125,3.262061171084967,10.0,2024-03-06
Jalen Johnson,Under,-120,9.5,-0.13361868135648253,FanDuel,player_rebounds,Atlanta Hawks,10.3,10.4783292560609,0.5108444854637724,0.45063167524065356,Cleveland Cavaliers,1.0173135200059125,3.262061171084967,9.0,2024-03-06
