outcomes_description,outcomes_name,outcomes_price,outcomes_point,EV Percentage,bookmakers.title,bookmakers.markets.key,team,Outcome Last 30 Avg,Outcome Last 30 Avg Adjusted,True Odds,Percentage Hit,opposing team,Defensive Rating Adjustment,Outcome Last 30 STD,outcomes_point_adj,Date
Cade Cunningham,Under,-140,12.5,-0.1130246118456591,BetMGM,player_rebounds_assists,Detroit Pistons,12.3,13.068232185409205,0.5463197969543122,0.4908425125014839,Dallas Mavericks,1.0624579012527808,1.9137998217644048,12.0,2024-03-09
Kyrie Irving,Over,110,9.5,0.0069441487843095746,BetMGM,player_rebounds_assists,Dallas Mavericks,8.9,8.597048556516922,0.44597534445249976,0.44909391944727034,Detroit Pistons,0.9659605119681935,3.0521508809362623,10.0,2024-03-09
Kyrie Irving,Under,-145,9.5,-0.09837360524369376,BetMGM,player_rebounds_assists,Dallas Mavericks,8.9,8.597048556516922,0.554283642390964,0.5046403516479133,Detroit Pistons,0.9659605119681935,3.0521508809362623,9.0,2024-03-09
Isaiah Stewart II,Over,100,8.5,,BetMGM,player_rebounds_assists,,,,0.4682741116751247,,Detroit Pistons,0.9659605119681935,,9.0,2024-03-09
Isaiah Stewart II,Under,-130,8.5,,BetMGM,player_rebounds_assists,,,,0.5293533436327497,,Detroit Pistons,0.9659605119681935,,8.0,2024-03-09
Luka Doncic,Over,104,20.5,0.08891495218272509,FanDuel,player_rebounds_assists,Dallas Mavericks,21.2,20.478362853725702,0.45909226634816147,0.5038961702291441,Detroit Pistons,0.9659605119681935,4.094993903445044,21.0,2024-03-09
Luka Doncic,Under,-132,20.5,-0.1179677319997524,FanDuel,player_rebounds_assists,Dallas Mavericks,21.2,20.478362853725702,0.5328636443199696,0.47663597889969117,Detroit Pistons,0.9659605119681935,4.094993903445044,20.0,2024-03-09
Kyrie Irving,Over,102,9.5,-0.03238479581829199,FanDuel,player_rebounds_assists,Dallas Mavericks,8.9,8.597048556516922,0.46363773433180666,0.44909391944727034,Detroit Pistons,0.9659605119681935,3.0521508809362623,10.0,2024-03-09
Kyrie Irving,Under,-130,9.5,-0.048971494063317696,FanDuel,player_rebounds_assists,Dallas Mavericks,8.9,8.597048556516922,0.5293533436327497,0.5046403516479133,Detroit Pistons,0.9659605119681935,3.0521508809362623,9.0,2024-03-09
Ausar Thompson,Over,-140,8.5,-0.25052777960632466,FanDuel,player_rebounds_assists,Detroit Pistons,7.7,8.180925839646413,0.5463197969543122,0.4368713801194386,Dallas Mavericks,1.0624579012527808,3.276331642320556,9.0,2024-03-09
