outcomes_description,outcomes_name,outcomes_price,outcomes_point,EV Percentage,bookmakers.title,bookmakers.markets.key,team,Outcome Last 30 Avg,Outcome Last 30 Avg Adjusted,True Odds,Percentage Hit,opposing team,Defensive Rating,Defensive Rating Adjustment,Outcome Last 30 STD,outcomes_point_adj,Date
Coby White,Under,-120,27.5,-0.2728500824409235,BetMGM,player_points_assists,Chicago Bulls,26.454545454545453,28.67918526636551,0.5108444854637724,0.4013390834560299,Sacramento Kings,122.9,0.9224301600216976,6.719897677300483,27.0,2024-03-04
Nikola Vucevic,Over,-120,22.5,0.3186563268881249,BetMGM,player_points_assists,Chicago Bulls,24.454545454545453,26.510999438667778,0.5108444854637724,0.7497603714886083,Sacramento Kings,122.9,0.9224301600216976,5.211240235624187,23.0,2024-03-04
Nikola Vucevic,Under,-110,22.5,-1.5372680298332855,BetMGM,player_points_assists,Chicago Bulls,24.454545454545453,26.510999438667778,0.49057287889774975,0.19334688851535464,Sacramento Kings,122.9,0.9224301600216976,5.211240235624187,22.0,2024-03-04
De'Aaron Fox,Over,-105,30.5,0.19296269195246613,BetMGM,player_points_assists,Sacramento Kings,31.90909090909091,33.2920371013873,0.479695431472079,0.5943906516944137,Chicago Bulls,118.28,0.958460151053996,9.595970228595917,31.0,2024-03-04
De'Aaron Fox,Under,-125,30.5,-0.4224718311289584,BetMGM,player_points_assists,Sacramento Kings,31.90909090909091,33.2920371013873,0.5203045685279164,0.3657749539510893,Chicago Bulls,118.28,0.958460151053996,9.595970228595917,30.0,2024-03-04
DeMar DeRozan,Over,-105,28.5,0.4063472933049648,BetMGM,player_points_assists,Chicago Bulls,30.90909090909091,33.50832642805593,0.479695431472079,0.8080405025736754,Sacramento Kings,122.9,0.9224301600216976,5.177829405781143,29.0,2024-03-04
DeMar DeRozan,Under,-125,28.5,-2.62069317896904,BetMGM,player_points_assists,Chicago Bulls,30.90909090909091,33.50832642805593,0.5203045685279164,0.14370302668840568,Sacramento Kings,122.9,0.9224301600216976,5.177829405781143,28.0,2024-03-04
Coby White,Over,-111,27.5,0.08804461502985562,Caesars,player_points_assists,Chicago Bulls,26.454545454545453,28.67918526636551,0.4926865061226431,0.5402528613159872,Sacramento Kings,122.9,0.9224301600216976,6.719897677300483,28.0,2024-03-04
Coby White,Under,-123,27.5,-0.28711970219923005,Caesars,player_points_assists,Chicago Bulls,26.454545454545453,28.67918526636551,0.5165714415788372,0.4013390834560299,Sacramento Kings,122.9,0.9224301600216976,6.719897677300483,27.0,2024-03-04
Alex Caruso,Over,-119,10.5,0.2676891677153455,Caesars,player_points_assists,Chicago Bulls,11.666666666666666,12.647750661570129,0.5089006327793594,0.6949243549923976,Sacramento Kings,122.9,0.9224301600216976,3.2317865716108862,11.0,2024-03-04
Alex Caruso,Under,-115,10.5,-1.4280886968607902,Caesars,player_points_assists,Chicago Bulls,11.666666666666666,12.647750661570129,0.5009443985361799,0.20631223199705895,Sacramento Kings,122.9,0.9224301600216976,3.2317865716108862,10.0,2024-03-04
Ayo Dosunmu,Over,-119,18.5,0.2372866670410592,Caesars,player_points_assists,Chicago Bulls,20.545454545454547,22.273181684531295,0.5089006327793594,0.6672239893920342,Sacramento Kings,122.9,0.9224301600216976,7.572241608348654,19.0,2024-03-04
Ayo Dosunmu,Under,-115,18.5,-0.7499168500755832,Caesars,player_points_assists,Chicago Bulls,20.545454545454547,22.273181684531295,0.5009443985361799,0.28626754380617736,Sacramento Kings,122.9,0.9224301600216976,7.572241608348654,18.0,2024-03-04
Nikola Vucevic,Over,-121,22.5,0.3160871576833288,Caesars,player_points_assists,Chicago Bulls,24.454545454545453,26.510999438667778,0.5127707467211774,0.7497603714886083,Sacramento Kings,122.9,0.9224301600216976,5.211240235624187,23.0,2024-03-04
Nikola Vucevic,Under,-113,22.5,-1.569755456591714,Caesars,player_points_assists,Chicago Bulls,24.454545454545453,26.510999438667778,0.4968542217773624,0.19334688851535464,Sacramento Kings,122.9,0.9224301600216976,5.211240235624187,22.0,2024-03-04
DeMar DeRozan,Over,-109,28.5,0.3955265558851419,Caesars,player_points_assists,Chicago Bulls,30.90909090909091,33.50832642805593,0.48843902557501045,0.8080405025736754,Sacramento Kings,122.9,0.9224301600216976,5.177829405781143,29.0,2024-03-04
DeMar DeRozan,Under,-125,28.5,-2.62069317896904,Caesars,player_points_assists,Chicago Bulls,30.90909090909091,33.50832642805593,0.5203045685279164,0.14370302668840568,Sacramento Kings,122.9,0.9224301600216976,5.177829405781143,28.0,2024-03-04
De'Aaron Fox,Over,-109,30.5,0.17825251089896818,Caesars,player_points_assists,Sacramento Kings,31.90909090909091,33.2920371013873,0.48843902557501045,0.5943906516944137,Chicago Bulls,118.28,0.958460151053996,9.595970228595917,31.0,2024-03-04
De'Aaron Fox,Under,-125,30.5,-0.4224718311289584,Caesars,player_points_assists,Sacramento Kings,31.90909090909091,33.2920371013873,0.5203045685279164,0.3657749539510893,Chicago Bulls,118.28,0.958460151053996,9.595970228595917,30.0,2024-03-04
