,First Last Name,team,position,points,minutes,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,Points_Rebounds_Assist,Points_Rebounds,Points_Assist,Rebounds_Assist,points_deviation,totReb_deviation,assists_deviation,tpm_deviation,Points_Rebounds_Assist_deviation,Points_Rebounds_deviation,Points_Assist_deviation,Rebounds_Assist_deviation,count
126,Dennis Schroder,Brooklyn Nets,PG,140,355,52,131,390.8,18,20,525.0,18,54,339.5,6,28,34,62,16,9,31,5,-74,236,174,202,96,225.63091715976333,36.41198224852071,40.366863905325445,5.625,347.51775147929,266.3224852071006,312.23446745562126,71.37056213017752,10
127,Dennis Smith Jr.,Brooklyn Nets,PG,58,167,21,46,487.1,8,11,383.3,8,22,348.3,5,13,18,28,22,16,11,0,3,104,76,86,46,75.38271604938271,18.711111111111112,41.77777777777778,4.0,181.82716049382717,136.47901234567902,110.41975308641975,70.80000000000001,10
128,Dereck II Lively,Dallas Mavericks,C,84,187,41,56,659.0,2,7,100.0,0,0,0.0,15,39,54,7,20,4,7,9,5,145,138,91,61,382.5,76.76549586776859,8.140495867768596,0.0,731.2324380165289,653.0382231404958,456.9132231404959,88.68698347107438,10
129,Derrick Jones Jr.,Dallas Mavericks,SF,77,199,28,51,549.1,15,21,583.4,6,20,190.0,10,14,24,10,12,7,5,3,74,111,101,87,34,109.92378175760099,50.13327780091629,10.149937526030822,8.423990004164931,219.95293627655144,183.3082049146189,139.5880882965431,67.26364014993753,10
130,Derrick Rose,Memphis Grizzlies,PG,49,95,20,37,377.7,5,6,266.7,4,8,233.3,0,15,15,21,3,1,9,0,-9,85,64,70,36,70.0,14.857142857142858,12.0,3.7142857142857144,188.85714285714286,116.85714285714286,128.0,40.857142857142854,7
131,Derrick White,Boston Celtics,PG,168,363,61,136,459.70000000000005,16,18,555.6,30,79,328.2,10,53,63,68,24,10,15,13,78,299,231,236,131,339.63115197404,46.0535424553813,60.18496484586262,56.13520822065981,561.6792861005949,451.9983775013521,413.2861005949162,142.26446727961059,10
132,Desmond Bane,Memphis Grizzlies,SG,93,165,30,80,183.4,19,21,366.7,14,40,172.9,2,14,16,34,14,5,13,2,-54,143,109,127,50,269.27032136105856,8.824196597353497,118.0,4.854442344045369,712.6465028355387,365.34215500945174,597.6181474480152,145.78071833648391,5
133,Devin Booker,Phoenix Suns,SG,251,358,94,197,473.0,43,47,896.4,20,66,294.7,14,41,55,71,32,5,24,6,14,377,306,322,126,374.53599999999994,48.696,82.996,27.023999999999997,326.836,413.664,232.5,186.9,10
134,Devin Vassell,San Antonio Spurs,SG,200,367,78,159,455.8,22,25,791.7,22,58,339.4,0,36,36,49,16,13,18,2,-26,285,236,249,85,873.0864197530864,24.647462277091908,65.28532235939643,28.16186556927298,1259.4444444444446,937.0013717421125,1168.1906721536352,117.27160493827161,10
135,Devonte' Graham,San Antonio Spurs,PG,17,36,6,14,158.3,1,1,100.0,4,11,170.0,0,9,9,2,2,2,1,0,18,28,26,19,11,51.735537190082646,1.1239669421487604,4.495867768595041,2.8264462809917354,74.89256198347107,58.82644628099173,68.29752066115702,5.12396694214876,5
136,Dillon Brooks,Houston Rockets,SF,121,284,45,103,417.2,15,17,500.0,16,57,312.5,2,26,28,19,24,8,13,2,90,168,149,140,47,362.1111111111111,23.083676268861456,21.040466392318244,10.507544581618655,561.056927297668,427.960219478738,456.6947873799726,82.63717421124828,10
137,Domantas Sabonis,Sacramento Kings,PF,181,363,64,113,577.7,51,64,814.1,2,8,133.3,34,112,146,76,26,8,34,9,39,403,327,257,222,259.4444444444444,66.7590027700831,62.778701138811954,1.777777777777778,326.3905817174515,381.88765774084334,199.29916897506928,134.18590335487843,10
