,id,date,home_team,away_team
37,13456,2024-03-08T03:00:00.000Z,Sacramento Kings,San Antonio Spurs
38,13442,2024-03-07T00:00:00.000Z,Washington Wizards,Orlando Magic
39,13443,2024-03-07T00:30:00.000Z,Atlanta Hawks,Cleveland Cavaliers
40,13444,2024-03-07T00:30:00.000Z,Philadelphia 76ers,Memphis Grizzlies
41,13445,2024-03-07T01:00:00.000Z,Houston Rockets,LA Clippers
42,13446,2024-03-07T02:00:00.000Z,Utah Jazz,Chicago Bulls
43,13447,2024-03-07T03:00:00.000Z,Golden State Warriors,Milwaukee Bucks
44,13448,2024-03-07T03:00:00.000Z,Portland Trail Blazers,Oklahoma City Thunder
45,13449,2024-03-07T03:30:00.000Z,Los Angeles Lakers,Sacramento Kings
46,13433,2024-03-06T00:00:00.000Z,Charlotte Hornets,Orlando Magic
47,13434,2024-03-06T00:00:00.000Z,Cleveland Cavaliers,Boston Celtics
48,13435,2024-03-06T00:30:00.000Z,Brooklyn Nets,Philadelphia 76ers
49,13436,2024-03-06T00:30:00.000Z,Miami Heat,Detroit Pistons
50,13437,2024-03-06T00:30:00.000Z,New York Knicks,Atlanta Hawks
51,13438,2024-03-06T00:30:00.000Z,Toronto Raptors,New Orleans Pelicans
52,13439,2024-03-06T01:00:00.000Z,Houston Rockets,San Antonio Spurs
53,13440,2024-03-06T01:30:00.000Z,Dallas Mavericks,Indiana Pacers
54,13441,2024-03-06T03:00:00.000Z,Denver Nuggets,Phoenix Suns
55,13427,2024-03-05T00:30:00.000Z,Brooklyn Nets,Memphis Grizzlies
56,13428,2024-03-05T01:00:00.000Z,Milwaukee Bucks,LA Clippers
57,13429,2024-03-05T01:00:00.000Z,Minnesota Timberwolves,Portland Trail Blazers
58,13430,2024-03-05T02:00:00.000Z,Utah Jazz,Washington Wizards
59,13431,2024-03-05T03:00:00.000Z,Sacramento Kings,Chicago Bulls
60,13432,2024-03-05T03:30:00.000Z,Los Angeles Lakers,Oklahoma City Thunder
61,13424,2024-03-04T00:00:00.000Z,Cleveland Cavaliers,New York Knicks
62,13425,2024-03-04T00:00:00.000Z,San Antonio Spurs,Indiana Pacers
63,13426,2024-03-04T02:30:00.000Z,Phoenix Suns,Oklahoma City Thunder
64,13416,2024-03-03T01:00:00.000Z,Memphis Grizzlies,Portland Trail Blazers
65,13417,2024-03-03T01:30:00.000Z,Los Angeles Lakers,Denver Nuggets
66,13418,2024-03-03T02:00:00.000Z,Phoenix Suns,Houston Rockets
67,13419,2024-03-03T18:00:00.000Z,Dallas Mavericks,Philadelphia 76ers
68,13420,2024-03-03T20:30:00.000Z,Boston Celtics,Golden State Warriors
69,13421,2024-03-03T20:30:00.000Z,Minnesota Timberwolves,LA Clippers
70,13422,2024-03-03T23:00:00.000Z,Orlando Magic,Detroit Pistons
71,13423,2024-03-03T23:00:00.000Z,Toronto Raptors,Charlotte Hornets
72,13405,2024-03-02T00:00:00.000Z,Detroit Pistons,Cleveland Cavaliers
73,13406,2024-03-02T00:00:00.000Z,Philadelphia 76ers,Charlotte Hornets
74,13407,2024-03-02T00:30:00.000Z,Boston Celtics,Dallas Mavericks
75,13408,2024-03-02T00:30:00.000Z,Toronto Raptors,Golden State Warriors
76,13409,2024-03-02T01:00:00.000Z,Memphis Grizzlies,Portland Trail Blazers
