,First Last Name,team,position,points,minutes,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,Points_Rebounds_Assist,Points_Rebounds,Points_Assist,Rebounds_Assist,points_deviation,totReb_deviation,assists_deviation,tpm_deviation,Points_Rebounds_Assist_deviation,Points_Rebounds_deviation,Points_Assist_deviation,Rebounds_Assist_deviation,count
300,Landry Shamet,Washington Wizards,SG,61,191,22,60,313.1,7,7,300.0,10,39,154.1,4,11,15,8,13,6,9,3,-56,84,76,69,23,297.0,20.508650519031143,6.0,16.034602076124564,398.4498269896194,360.56747404844293,329.0,32.391003460207614,10
301,Larry Nance Jr.,New Orleans Pelicans,PF,51,198,21,34,563.6,6,9,300.0,3,8,200.0,22,33,55,18,22,7,14,5,38,124,106,69,73,79.29012345679013,49.58641975308642,11.679012345679013,2.1790123456790127,259.5308641975309,229.30864197530863,96.5,74.27777777777779,10
302,Lauri Markkanen,Utah Jazz,PF,211,342,70,163,428.6,40,43,856.7,31,77,398.8,18,52,70,23,15,7,17,3,-46,304,281,234,93,325.44444444444446,112.71111111111112,50.111111111111114,23.444444444444446,786.5777777777778,575.4000000000001,492.8,206.64444444444445,10
303,LeBron James,Los Angeles Lakers,SF,270,355,103,184,557.9,39,48,763.9,25,52,496.6,6,52,58,97,10,11,29,6,47,425,328,367,155,200.15625,81.4765625,52.5,27.90625,229.6640625,219.4140625,245.15625,99.2265625,10
304,Leaky Black,Charlotte Hornets,F,26,138,8,22,232.1,6,8,225.0,4,9,150.0,3,19,22,13,8,2,3,2,-25,61,48,39,35,83.5,29.5,5.875,8.0,111.875,84.0,96.875,49.875,8
305,Leonard Miller,Minnesota Timberwolves,F,0,5,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,2,0,0,0,0,8,2,0,2,2,1.0,0.25,1.0,0.0,0.25,2.25,0.0,0.25,1
306,Lester Quinones,Golden State Warriors,G,62,180,21,57,352.3,11,15,425.0,9,32,250.0,8,22,30,16,19,2,5,1,-11,108,92,78,46,177.96694214876032,21.32231404958678,28.99173553719008,11.0,259.35537190082647,262.6942148760331,176.92561983471074,48.016528925619845,10
307,Lindy Waters III,Oklahoma City Thunder,F,23,57,8,17,273.3,0,0,0.0,7,15,233.3,1,13,14,4,6,1,2,2,-30,41,37,27,18,64.94,20.560000000000002,3.5,8.139999999999999,164.44000000000003,135.34,82.84,35.26,6
308,Lonnie Walker IV,Brooklyn Nets,G,101,184,37,102,335.0,4,5,250.0,23,59,341.1,1,25,26,8,23,5,8,2,6,135,127,109,34,449.6111111111111,28.641975308641975,10.5,27.0679012345679,676.679012345679,614.6234567901234,505.4444444444444,45.364197530864196,10
309,Luguentz Dort,Oklahoma City Thunder,G,106,290,39,86,454.2,3,3,200.0,25,54,476.1,5,29,34,13,28,12,5,5,53,153,140,119,47,227.29999999999998,38.8,14.125,17.4,322.125,290.5,245.125,66.725,10
310,Luka Doncic,Dallas Mavericks,PG,351,376,126,242,518.8,61,72,883.8,38,98,370.5,8,91,99,113,28,14,40,5,46,563,450,464,212,340.6288088642659,27.13296398891967,84.71191135734072,40.880886426592795,494.70637119113576,352.6925207756233,426.797783933518,167.68975069252076,10
311,Luka Garza,Minnesota Timberwolves,C,8,5,3,5,60.0,1,2,50.0,1,1,100.0,1,0,1,0,1,0,0,0,8,9,9,8,1,19.360000000000003,0.16000000000000003,0.0,0.16000000000000003,23.04,23.04,19.360000000000003,0.16000000000000003,1
312,Luka Samanic,Utah Jazz,F,28,73,9,28,205.5,7,9,250.0,3,14,78.3,3,9,12,3,6,1,4,3,-40,43,40,31,15,50.14876033057851,11.239669421487603,3.6115702479338836,1.5123966942148759,118.33884297520662,104.0,61.74380165289256,17.595041322314046,6
313,Luke Kennard,Memphis Grizzlies,SG,128,265,39,74,531.2,21,24,621.4,29,56,521.2,0,20,20,29,12,5,16,0,-69,177,148,157,49,299.06944444444446,6.0,39.125,20.944444444444443,416.94444444444446,309.06944444444446,412.9444444444445,39.125,10
314,Luke Kornet,Boston Celtics,C,39,143,17,24,563.3,5,6,250.0,0,0,0.0,17,23,40,8,16,3,2,10,50,87,79,47,48,85.61111111111111,68.625,9.777777777777779,0.0,316.2361111111111,226.90277777777777,142.27777777777777,111.06944444444444,10
315,Malachi Flynn,Detroit Pistons,PG,36,83,13,39,232.5,4,6,200.0,6,18,241.7,0,10,10,11,5,3,6,0,-20,57,46,47,21,92.96888888888888,7.120000000000001,13.168888888888887,4.48,204.23555555555558,140.8088888888889,147.27555555555554,29.408888888888892,8
316,Malaki Branham,San Antonio Spurs,G,144,229,52,105,503.1,16,16,700.0,24,44,505.4,4,16,20,23,14,4,12,1,-33,187,164,167,43,399.1604938271604,12.123456790123457,26.179012345679013,23.58641975308642,488.03086419753083,411.11111111111114,470.2777777777778,44.104938271604944,10
317,Malcolm Brogdon,Portland Trail Blazers,PG,65,142,24,52,182.4,11,13,333.3,6,19,110.0,6,19,25,27,9,4,8,1,10,117,90,92,52,92.75,4.75,6.75,5.0,106.75,61.0,146.0,4.0,4
318,Malik Beasley,Milwaukee Bucks,SG,111,299,40,99,395.3,1,2,50.0,30,78,372.0,3,29,32,15,23,15,6,1,73,158,143,126,47,351.281179138322,16.979591836734695,16.551020408163264,34.20408163265306,242.21315192743765,272.4104308390023,306.5532879818594,48.06122448979592,10
