,outcomes_name,outcomes_description,outcomes_price,outcomes_point,timestamp,data.id,"data,.home_team",data.away_team,data.bookmakers.title,data.bookmakers.markets.key
65,Under,Giannis Antetokounmpo,-110,28.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,PointsBet (US),player_points
66,Over,Grant Williams,-115,8.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,PointsBet (US),player_points
67,Under,Grant Williams,-115,8.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,PointsBet (US),player_points
68,Over,Jae Crowder,-110,6.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,PointsBet (US),player_points
69,Under,Jae Crowder,-120,6.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,PointsBet (US),player_points
70,Over,Malik Beasley,-115,11.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,PointsBet (US),player_points
71,Under,Malik Beasley,-115,11.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,PointsBet (US),player_points
72,Over,Miles Bridges,-110,19.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,PointsBet (US),player_points
73,Under,Miles Bridges,-120,19.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,PointsBet (US),player_points
74,Over,Nick Richards,-115,9.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,PointsBet (US),player_points
75,Under,Nick Richards,-115,9.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,PointsBet (US),player_points
